year,round,driver,quali_gap
2015,5,rosberg,0.0
2015,5,sainz,1.4549999999999983
2015,5,stevens,6.5190000000000055
2015,5,vettel,0.777000000000001
2015,6,alonso,2.6799999999999926
2015,6,bottas,3.3359999999999985
2015,6,button,1.9950000000000043
2015,6,ericsson,3.4150000000000063
2015,6,grosjean,1.909000000000006
2015,6,hamilton,0.0
2015,6,hulkenberg,2.094999999999999
2015,6,kvyat,1.0840000000000032
2015,6,maldonado,1.6770000000000067
2015,6,massa,2.1799999999999926
2015,6,max_verstappen,1.4479999999999933
2015,6,merhi,5.805999999999997
2015,6,nasr,3.003
2015,6,perez,1.7099999999999935
2015,6,raikkonen,1.3289999999999935
2015,6,ricciardo,0.9429999999999978
2015,6,rosberg,0.3419999999999987
2015,6,sainz,1.6640000000000017
2015,6,stevens,5.557000000000002
2015,6,vettel,0.7510000000000048
2015,7,alonso,1.882999999999996
2015,7,bottas,0.7090000000000032
2015,7,ericsson,1.869
2015,7,grosjean,0.7939999999999969
2015,7,hamilton,0.0
2015,7,hulkenberg,1.2210000000000036
2015,7,kvyat,1.4980000000000049
2015,7,maldonado,0.936000000000007
2015,7,massa,3.492999999999995
2015,7,max_verstappen,1.852000000000004
2015,7,merhi,4.739999999999995
2015,7,nasr,2.227000000000004
2015,7,perez,1.581000000000003
2015,7,raikkonen,0.6209999999999951
2015,7,ricciardo,1.6129999999999995
2015,7,rosberg,0.2800000000000011
2015,7,sainz,1.649000000000001
2015,7,stevens,4.763999999999996
2015,7,vettel,2.9509999999999934
2015,8,alonso,2.281000000000006
2015,8,bottas,0.8640000000000043
2015,8,button,4.177000000000007
2015,8,ericsson,1.971000000000004
2015,8,grosjean,1.4650000000000034
2015,8,hamilton,0.0
2015,8,hulkenberg,0.8230000000000075
2015,8,kvyat,1.2390000000000043
2015,8,maldonado,1.918999999999997
2015,8,massa,0.737000000000009
2015,8,max_verstappen,1.1569999999999965
2015,8,merhi,5.616
2015,8,nasr,1.1970000000000027
2015,8,perez,4.067000000000007
2015,8,raikkonen,4.412000000000006
2015,8,ricciardo,2.027000000000001
2015,8,rosberg,0.179000000000002
2015,8,sainz,2.010000000000005
2015,8,stevens,6.912999999999997
2015,8,vettel,0.355000000000004
2015,9,alonso,2.7110000000000127
2015,9,bottas,0.7720000000000198
2015,9,button,2.959000000000003
2015,9,ericsson,2.3950000000000102
2015,9,grosjean,2.1820000000000164
2015,9,hamilton,0.0
2015,9,hulkenberg,1.4250000000000114
2015,9,kvyat,1.2720000000000198
2015,9,maldonado,2.263000000000005
2015,9,massa,0.8370000000000175
2015,9,max_verstappen,2.254000000000019
2015,9,merhi,7.129000000000019
2015,9,nasr,2.640000000000015
2015,9,perez,2.002000000000009
2015,9,raikkonen,1.1310000000000002
2015,9,ricciardo,1.5010000000000048
2015,9,rosberg,0.1129999999999995
2015,9,sainz,1.4010000000000105
2015,9,stevens,5.116000000000014
2015,9,vettel,1.2990000000000066
2015,10,alonso,2.5430000000000064
2015,10,bottas,1.2020000000000124
2015,10,button,2.7190000000000083
2015,10,ericsson,2.8230000000000075
2015,10,grosjean,1.7850000000000108
2015,10,hamilton,0.0
2015,10,hulkenberg,1.8059999999999976
2015,10,kvyat,1.3119999999999976
2015,10,maldonado,1.875
2015,10,massa,1.51700000000001
2015,10,max_verstappen,1.659000000000006
2015,10,merhi,5.396000000000001
2015,10,nasr,2.977000000000004
2015,10,perez,2.4240000000000066
2015,10,raikkonen,1.0
2015,10,ricciardo,0.7540000000000049
2015,10,rosberg,0.5750000000000028
2015,10,sainz,1.849000000000004
2015,10,stevens,5.929000000000002
